timestamp,symbol,price,quantity,buyer,seller,Dist from VWAP
199600,KELP,2023,1,InferredBot,SUBMISSION,1.022727272727252
199400,KELP,2023,1,InferredBot,SUBMISSION,1.0799999999999272
198500,KELP,2023,2,InferredBot,SUBMISSION,0.4888888888888232
198500,KELP,2023,1,ExplicitBook,SUBMISSION,0.4888888888888232
197700,KELP,2023,2,InferredBot,SUBMISSION,0.5
196500,KELP,2022,1,ExplicitBook,SUBMISSION,0.9818181818181984
196000,KELP,2021,1,ExplicitBook,SUBMISSION,0.4888888888888232
194400,KELP,2020,2,InferredBot,SUBMISSION,0.5
194100,KELP,2020,1,ExplicitBook,SUBMISSION,0.49019607843138147
193800,KELP,2020,1,ExplicitBook,SUBMISSION,0.4918032786886215
193600,KELP,2020,14,InferredBot,SUBMISSION,0.5
192500,KELP,2022,1,ExplicitBook,SUBMISSION,0.9767441860465169
192000,KELP,2021,1,InferredBot,SUBMISSION,0.5
191800,KELP,2022,1,ExplicitBook,SUBMISSION,0.9841269841269877
190900,KELP,2023,1,InferredBot,SUBMISSION,0.9787234042553337
190900,KELP,2023,1,ExplicitBook,SUBMISSION,0.9787234042553337
189800,KELP,2022,2,InferredBot,SUBMISSION,0.7142857142857792
189500,KELP,2023,2,InferredBot,SUBMISSION,1
189300,KELP,2022,1,ExplicitBook,SUBMISSION,0.9433962264151887
187700,KELP,2023,15,InferredBot,SUBMISSION,1.0882352941175668
187400,KELP,2023,1,ExplicitBook,SUBMISSION,0.936170212766001
185200,KELP,2023,10,InferredBot,SUBMISSION,1
184100,KELP,2022,1,ExplicitBook,SUBMISSION,0.9777777777778738
183700,KELP,2022,8,InferredBot,SUBMISSION,0.9677419354839003
183100,KELP,2022,1,InferredBot,SUBMISSION,1.0869565217392392
182200,KELP,2020,1,ExplicitBook,SUBMISSION,0.49122807017533887
181700,KELP,2020,14,InferredBot,SUBMISSION,0.7234042553191102
181400,KELP,2020,2,InferredBot,SUBMISSION,0.5
180900,KELP,2020,11,InferredBot,SUBMISSION,0.5
180500,KELP,2020,2,ExplicitBook,SUBMISSION,0.47916666666674246
180000,KELP,2019,11,InferredBot,SUBMISSION,0.5
179700,KELP,2019,1,ExplicitBook,SUBMISSION,0.490566037735789
179000,KELP,2020,2,InferredBot,SUBMISSION,1.0161290322580498
178800,KELP,2020,5,InferredBot,SUBMISSION,0.6323529411765776
176100,KELP,2020,2,InferredBot,SUBMISSION,1.043478260869506
175800,KELP,2019,1,InferredBot,SUBMISSION,0.5
174800,KELP,2019,1,ExplicitBook,SUBMISSION,0.4888888888888232
173900,KELP,2020,1,ExplicitBook,SUBMISSION,0.9824561403509051
173800,KELP,2020,7,InferredBot,SUBMISSION,1.0161290322580498
170400,KELP,2020,10,ExplicitBook,SUBMISSION,0.4305555555556566
169200,KELP,2019,1,ExplicitBook,SUBMISSION,0.4888888888888232
169000,KELP,2019,2,InferredBot,SUBMISSION,0.474576271186379
