timestamp,product,side,price,volume
0,SQUID_INK,BID,1834,23
0,SQUID_INK,ASK,1838,23
0,KELP,BID,2032,23
0,KELP,ASK,2035,39
0,RAINFOREST_RESIN,BID,9998,9
0,RAINFOREST_RESIN,BID,9995,23
0,RAINFOREST_RESIN,ASK,10005,23
100,SQUID_INK,BID,1837,2
100,SQUID_INK,BID,1836,2
100,SQUID_INK,BID,1835,22
100,SQUID_INK,ASK,1839,22
100,RAINFOREST_RESIN,BID,10002,2
100,RAINFOREST_RESIN,BID,10000,3
100,RAINFOREST_RESIN,BID,9998,4
100,RAINFOREST_RESIN,ASK,10004,1
100,RAINFOREST_RESIN,ASK,10005,21
100,KELP,BID,2034,2
100,KELP,BID,2033,3
100,KELP,BID,2032,33
100,KELP,ASK,2035,22
200,SQUID_INK,BID,1834,1
200,SQUID_INK,BID,1832,22
200,SQUID_INK,ASK,1835,40
200,RAINFOREST_RESIN,BID,10003,1
200,RAINFOREST_RESIN,BID,9996,1
200,RAINFOREST_RESIN,BID,9995,21
200,RAINFOREST_RESIN,ASK,10004,1
200,RAINFOREST_RESIN,ASK,10005,21
200,KELP,BID,2034,1
200,KELP,BID,2032,22
200,KELP,ASK,2035,38
300,SQUID_INK,BID,1836,2
300,SQUID_INK,BID,1834,40
300,SQUID_INK,ASK,1837,37
300,RAINFOREST_RESIN,BID,9995,26
300,RAINFOREST_RESIN,ASK,10005,26
300,KELP,BID,2034,2
300,KELP,BID,2032,39
300,KELP,ASK,2035,37
400,SQUID_INK,BID,1833,39
400,SQUID_INK,ASK,1836,29
400,RAINFOREST_RESIN,BID,9998,8
400,RAINFOREST_RESIN,BID,9996,2
400,RAINFOREST_RESIN,BID,9995,26
400,RAINFOREST_RESIN,ASK,10004,2
400,RAINFOREST_RESIN,ASK,10005,26
400,KELP,BID,2032,39
400,KELP,ASK,2035,41
500,SQUID_INK,BID,1834,24
500,SQUID_INK,ASK,1836,6
500,SQUID_INK,ASK,1837,34
500,RAINFOREST_RESIN,BID,9998,8
500,RAINFOREST_RESIN,BID,9996,1
500,RAINFOREST_RESIN,BID,9995,23
500,RAINFOREST_RESIN,ASK,10004,1
500,RAINFOREST_RESIN,ASK,10005,23
500,KELP,BID,2032,37
500,KELP,ASK,2034,6
500,KELP,ASK,2035,30
600,SQUID_INK,BID,1834,10
600,SQUID_INK,BID,1832,36
600,SQUID_INK,ASK,1833,14
600,SQUID_INK,ASK,1835,30
600,RAINFOREST_RESIN,BID,9996,2
600,RAINFOREST_RESIN,BID,9995,28
600,RAINFOREST_RESIN,ASK,10004,2
600,RAINFOREST_RESIN,ASK,10005,28
600,KELP,BID,2033,10
600,KELP,BID,2032,32
600,KELP,ASK,2033,12
600,KELP,ASK,2035,30
700,SQUID_INK,BID,1834,34
700,SQUID_INK,ASK,1837,2
700,SQUID_INK,ASK,1838,22
700,RAINFOREST_RESIN,BID,9996,1
