timestamp,symbol,price,quantity,buyer,seller,Dist from VWAP
0,KELP,2028,1,ExplicitBook,SUBMISSION,0.9523809523809632
0,KELP,2028,14,InferredBot,SUBMISSION,0.9523809523809632
0,RAINFOREST_RESIN,10004,1,,,3.96825396825443
1100,RAINFOREST_RESIN,9996,2,,,4
1700,KELP,2026,8,,,0
1700,RAINFOREST_RESIN,10002,1,,,1.9555555555562023
1800,RAINFOREST_RESIN,10002,1,,,1.9574468085102126
1900,KELP,2026,1,,,0.46031746031735565
2000,RAINFOREST_RESIN,9998,1,,,1.962264150943156
2400,KELP,2025,1,SUBMISSION,ExplicitBook,0.9830508474576618
2900,RAINFOREST_RESIN,9996,1,,,4
2900,RAINFOREST_RESIN,9996,11,,,4
3000,KELP,2026,1,InferredBot,SUBMISSION,0.5818181818181074
3000,RAINFOREST_RESIN,10005,1,,,5.037735849056844
3100,KELP,2024,2,SUBMISSION,InferredBot,0.5438596491228509
3200,KELP,2024,2,SUBMISSION,InferredBot,0.5306122448980659
3700,RAINFOREST_RESIN,10002,1,,,1.9591836734689423
3800,KELP,2024,15,SUBMISSION,InferredBot,0.5
4200,RAINFOREST_RESIN,9996,2,,,4.142857142856883
4300,KELP,2024,5,SUBMISSION,ExplicitBook,0.2678571428571104
4300,KELP,2024,2,SUBMISSION,InferredBot,0.2678571428571104
4300,KELP,2025,1,,,0.7321428571428896
4300,RAINFOREST_RESIN,9995,2,,,4.960784313725526
4500,KELP,2023,1,,,1.526315789473756
4700,KELP,2023,7,,,1.7000000000000455
4800,KELP,2026,2,InferredBot,SUBMISSION,1
4800,RAINFOREST_RESIN,10004,2,,,4.222222222222626
5300,KELP,2025,1,ExplicitBook,SUBMISSION,0.48837209302314477
5700,KELP,2024,1,,,1.5283018867924056
6100,KELP,2024,1,,,1.530612244898066
6500,RAINFOREST_RESIN,9998,1,,,1.9636363636363967
6600,RAINFOREST_RESIN,10004,2,,,4
6700,RAINFOREST_RESIN,10002,3,,,1.8604651162786467
6900,KELP,2026,1,,,0.4909090909090992
7000,KELP,2026,4,ExplicitBook,SUBMISSION,0.4655172413793025
7000,KELP,2026,2,InferredBot,SUBMISSION,0.4655172413793025
7000,RAINFOREST_RESIN,10005,2,,,5.071428571429351
7300,KELP,2026,2,InferredBot,SUBMISSION,0.5909090909090082
7400,KELP,2024,1,,,1.533333333333303
7700,KELP,2024,1,,,1.5348837209303383
8100,KELP,2026,1,InferredBot,SUBMISSION,1
8600,KELP,2023,1,,,1.533333333333303
8800,RAINFOREST_RESIN,9998,1,,,1.9607843137255259
9200,KELP,2025,1,,,0.4426229508196684
9900,KELP,2025,4,ExplicitBook,SUBMISSION,0.4629629629630472
10300,KELP,2024,1,ExplicitBook,SUBMISSION,0.6825396825397547
10400,RAINFOREST_RESIN,10002,1,,,1.9661016949157784
10600,KELP,2023,4,SUBMISSION,ExplicitBook,0.5
10800,RAINFOREST_RESIN,10004,2,,,4.188679245282401
10800,RAINFOREST_RESIN,10004,10,,,4.188679245282401
11000,KELP,2024,7,ExplicitBook,SUBMISSION,0.43636363636369424
11100,RAINFOREST_RESIN,9998,3,,,1.866666666666788
11100,RAINFOREST_RESIN,9998,4,,,1.866666666666788
11300,KELP,2022,3,,,1.4042553191488878
11400,KELP,2023,2,SUBMISSION,InferredBot,0.5
11500,RAINFOREST_RESIN,10002,2,,,1.7627118644068105
11700,KELP,2023,2,SUBMISSION,ExplicitBook,0.9583333333332575
11800,KELP,2025,1,,,1
12000,RAINFOREST_RESIN,10002,1,,,1.9512195121951663
12400,KELP,2025,15,InferredBot,SUBMISSION,0.6071428571428896
12500,KELP,2023,1,,,1.5384615384614335
